ARQ,NEURONS,SIZE,WEIGHTS,ACC1,ACC2,ACC3,ACC4,ACC5,ACC_M,ACC_DP
ARQ4,4,100,129,0.779411792755127,0.8635293841362,0.6563529372215271,0.6025882363319397,0.5555294156074524,0.6914823532104493,0.11397474259138107
ARQ8,8,100,257,0.7867059111595154,0.846823513507843,0.6614117622375488,0.8202353119850159,0.7737647294998169,0.7777882575988769,0.06357172131538391
ARQ16,16,100,513,0.8999999761581421,0.8565882444381714,0.843999981880188,0.8172941207885742,0.7802352905273438,0.8396235466003418,0.03994455188512802
ARQ64,64,100,1989,0.8849411606788635,0.8292941451072693,0.6694117784500122,0.8683529496192932,0.8225882649421692,0.8149176597595215,0.0764147937297821
ARQ128,128,100,3977,0.8668235540390015,0.8848235011100769,0.8976470828056335,0.8928235173225403,0.9204705953598022,0.8925176620483398,0.017476603388786316
ARQ256,256,100,7953,0.9129411578178406,0.9378823637962341,0.8954117894172668,0.9341176748275757,0.898588240146637,0.9157882690429687,0.017568517476320267
ARQ300,300,100,9331,0.9547058939933777,0.9022352695465088,0.9304705858230591,0.9270588159561157,0.9187058806419373,0.9266352653503418,0.01709435135126114
ARQ350,350,100,10871,0.9095293879508972,0.946117639541626,0.9217647314071655,0.9154117703437805,0.9130588173866272,0.921176528930664,0.013093437999486923
ARQ400,400,100,12411,0.9221176505088806,0.9160000085830688,0.9195294380187988,0.9372941255569458,0.9149411916732788,0.9219764709472656,0.008072814904153347
ARQ450,450,100,13981,0.9308235049247742,0.898588240146637,0.9370588064193726,0.9289411902427673,0.923058807849884,0.9236941337585449,0.013324289582669735
ARQ500,500,100,15521,0.9411764740943909,0.9383529424667358,0.9203529357910156,0.9303529262542725,0.8955293893814087,0.9251529693603515,0.016484104096889496
ARQ550,550,100,17061,0.8855293989181519,0.9217647314071655,0.9295294284820557,0.9309411644935608,0.9450588226318359,0.922564697265625,0.019984552636742592
ARQ600,600,100,18631,0.9444705843925476,0.9183529615402222,0.9051764607429504,0.8975294232368469,0.9394117593765259,0.9209881782531738,0.01842888817191124
ARQ2,2,150,65,0.6294117569923401,0.6294117569923401,0.6294117569923401,0.5741176605224609,0.7682352662086487,0.6461176395416259,0.06470543891191483
ARQ4,4,150,129,0.621999979019165,0.773411750793457,0.7269411683082581,0.771647036075592,0.7578823566436768,0.7303764343261718,0.05669062212109566
